GEOID,under_18,over_65,median_age,male_over65,female_over65,white,black,asian,hispanic,male,female,less_than_9th,bach,high_school,poverty,median_income,uninsured,CountyFIPS,StateAbbr,per_arthritis,per_HighBP,per_cancer,per_asthma,per_heartDisease,per_copd,per_smoking,per_depression,per_diabetes,per_highChol,per_obesity,per_stroke,Food_Environment_Index,primCare100k,per_rural
0500000US48467,23,20.2,42.1,45.7,54.3,88.3,2.7,0.5,12.8,49.2,50.8,4.4,18.2,59.4,11.5,68274,18.2,48467,TX,29,38.8,9.2,10.4,7.7,8.5,15.6,24.7,13.4,39.7,36,4,6.7,0.000104288,75.01854352
0500000US48469,25.2,16.7,36.6,45.1,54.9,61.6,5.7,1.2,47.6,49.2,50.8,5.7,19.7,34.7,16,70101,16.8,48469,TX,24.4,35.4,7,9.6,6.8,6.9,13.9,21.6,14.5,36.3,37.2,3.7,6.8,0.000739645,26.62657127
0500000US48471,14.7,13.7,37.1,47.3,52.7,61.9,20.3,1.1,21.6,59.1,40.9,6.8,21.4,29.9,17.9,49862,14.8,48471,TX,22.4,36.2,6,10.2,6.4,7.3,16.2,22.8,13.3,34.2,39.3,3.6,7.1,0.000291004,45.58288266
0500000US48473,23.8,11.4,30.8,47.8,52.2,46.6,23.6,1.7,33,50,50,8.9,26.6,26.8,13.5,76135,20.6,48473,TX,19.7,31.2,5.3,10.3,5,5.4,12.2,21.6,11.1,32,36.6,2.9,7.1,0.000121841,61.64101377
0500000US48475,29.1,13.8,34.9,44.7,55.3,64.5,6.3,1.6,55.4,50.9,49.1,9.3,10.7,54.4,14.6,71719,16,48475,TX,23,34.8,6,9.4,6.4,6.4,14.5,21.3,14.4,36.2,37.6,3.5,8,0.00016533,27.88515669
0500000US48477,21.5,22.3,40.9,44.7,55.3,69,15.2,1.4,18.1,49.4,50.6,4.5,31,30.3,12.6,75085,15.1,48477,TX,27.6,38.5,9,10,7.2,7.1,12.1,21.7,13.2,38.3,35.7,3.8,7.5,0.000615023,53.49071712
0500000US48479,31.6,10,29.8,43.5,56.5,37.7,0.5,0.5,95.1,49.6,50.4,15.2,20.9,36.5,21,62506,28.4,48479,TX,18.8,31.6,4.1,8.7,5.8,5,12.7,19.1,16.1,33.9,42.1,3.2,6.6,0.000295303,2.59963884
0500000US48481,25.6,17.9,38.4,45.9,54.1,63.4,13.3,0.5,41.5,49.5,50.5,7.8,19.2,43.5,14.5,66100,16.5,48481,TX,26,38.1,7.3,9.9,7.3,7.4,14.2,21.5,15,37.6,40,4,7.4,0.000407821,49.89583333
0500000US48483,24.5,20.6,40.6,45.9,54.1,81.9,1.7,1.6,25,50.1,49.9,3.8,19.5,42,14.2,67964,19.6,48483,TX,29.2,39.8,9,10.3,8.3,9.1,16,23.4,14.7,39.5,37.2,4.3,7.2,0.000202184,100
0500000US48485,23,15.1,35,44.2,55.8,73.9,10.3,2.2,20.3,51.8,48.2,5.6,24.8,39,15.9,62168,15.2,48485,TX,23.8,34.8,7,10.3,6.2,7.1,14.6,23.9,12.1,34.5,35.3,3.4,6.3,0.000825795,10.66692015
